Record_ID	Name	tax_class	family	genus	timestamp
127	ecv-circo.104-salvator	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
128	ecv-circo.105-Serpentes	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
129	ecv-circo.106-Scleroporus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
130	ecv-circo.11-Psittacula_krameri	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
131	ecv-circo.12-Nestor	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
132	ecv-circo.13-Cynops_pyrrhogaster	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
133	ecv-circo.14-Tinamus_guttatus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
134	ecv-circo.15-Glandirana	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
135	ecv-circo.151-Anura-con	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
136	ecv-circo.152-Xenopus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
137	ecv-circo.153-Geotrypetes	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
138	ecv-circo.16-Rhinella	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
139	ecv-circo.18-Sceloporus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
140	ecv-circo.2-psittaciformes	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
141	ecv-circo.2-psittaciformes-con	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
142	ecv-circo.206-sinocyclocheilus-con	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
143	ecv-circo.207-pygocentrus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
144	ecv-circo.208-Salmo-con	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
145	ecv-circo.209-Clupea	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
146	ecv-circo.210-Labeo	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
147	ecv-circo.211-Pomacentridae	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
148	ecv-circo.212-Kryptolebias-con	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
149	ecv-circo.213-Cyprinus-con	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
150	ecv-circo.214-Neolamprologus-con	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
151	ecv-circo.215-Paramormyrops_kingsleyae	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
152	ecv-circo.216-Paramormyrops_kingsleyae	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
153	ecv-circo.217-Labeo_rohita	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
154	ecv-circo.218-Charina_bottae	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
155	ecv-circo.219-Charina_bottae	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
156	ecv-circo.220-Astyanax_mexicanus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
157	ecv-circo.221-Microcaecilia_unicolor	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
158	ecv-circo.222-Rana_temporaria	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
159	ecv-circo.223-Rana_temporaria	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
160	ecv-circo.224-Engystomops_pustulosus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
161	ecv-circo.225-Geotrypetes_seraphini	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
162	ecv-circo.226-Geotrypetes_seraphini	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
