species_group	species	assembly_version
Actinopteri	Rhamphochromis_esox	ASM15093v1
Actinopteri	Maccullochella_peelii	mcod_v1
Actinopteri	Bathygadus_melanobranchus	ASM90030237v1
Actinopteri	Fundulus_heteroclitus	3.0.2
Actinopteri	Epinephelus_moara	YSFRI_EMoa_1.0
Actinopteri	Pampus_argenteus	PamArg1.0
Actinopteri	Sinocyclocheilus_anshuiensis	SAMN03320099
Actinopteri	Cromileptes_altivelis	SYSU_Calt_1.1
Actinopteri	Paralichthys_olivaceus	V1.0
Actinopteri	Lateolabrax_maculatus	ASM402866v1
Actinopteri	Salarias_fasciatus	fSalaFa1.1
Actinopteri	Anguilla_japonica	v1_25_oct_2011
Actinopteri	Leuciscus_waleckii	Amur_ide_v1
Actinopteri	Gadus_chalcogrammus	ASM90030257v1
Actinopteri	Nothobranchius_furzeri	Nfu_20140520
Actinopteri	Boleophthalmus_pectinirostris	1_BP
Actinopteri	Anabarilius_grahami	BGI_Agra_1.0
Actinopteri	Sebastes_rubrivinctus	SRub1.0
Actinopteri	Brosme_brosme	ASM90030242v1
Actinopteri	Seriola_quinqueradiata	Squ_1.0
Actinopteri	Trisopterus_minutus	ASM90030241v1
Actinopteri	Neolamprologus_brichardi	NeoBri1.0
Actinopteri	Macquaria_australasica	DU_Maus_v1.0
Actinopteri	Pangasianodon_hypophthalmus	VN_pangasius
Actinopteri	Acanthochromis_polyacanthus	ASM210954v1
Actinopteri	Antennarius_striatus	ASM90030327v1
Actinopteri	Danio_rerio	ensembl_79_Zv9
Actinopteri	Poropuntius_huangchuchieni	ASM412479v1
Actinopteri	Takifugu_rubripes	FUGU4
Actinopteri	Cyprinodon_variegatus	C_variegatus-1.0
Actinopteri	Hypoplectrus_puella	HP_genome_unmasked_01
Actinopteri	Scophthalmus_maximus	ASM318616v1
Actinopteri	Gambusia_affinis	ASM309773v1
Actinopteri	Xiphophorus_hellerii	3.0.1
Actinopteri	Mugil_soiuy	Liza_haematocheila_0.1
Actinopteri	Chromis_chromis	ASM90030275v1
Actinopteri	Maylandia_zebra	UMD1
Actinopteri	Anabas_testudineus	GCA_900324465
Actinopteri	Pagrus_major	Pmaj_1.0
Actinopteri	Denticeps_clupeoides	fDenClu1.1
Actinopteri	Sinocyclocheilus_grahami	v1.1
Actinopteri	Tachysurus_fulvidraco	GCA_003724035.1
Actinopteri	Benthosema_glaciale	ASM90032337v1
Actinopteri	Gadus_morhua	goldenpath_gadMor1_2010_05
Actinopteri	Sparus_aurata	ASM330901v1
Actinopteri	Austrofundulus_limnaeus	1
Actinopteri	Periophthalmodon_schlosseri	PS
Actinopteri	Hippocampus_comes	QL1_v1
Actinopteri	Sebastes_aleutianus	ASM191080v1
Actinopteri	Lota_lota	ASM90030238v1
Actinopteri	Poecilia_formosa	PoeFor_5.1.2
Actinopteri	Danionella_dracula	fDanDra1.1
Actinopteri	Oplegnathus_fasciatus	ASM341684v1
Actinopteri	Anguilla_rostrata	v1
